Designator,Mid X,Mid Y,Rotation,Layer
C1,61.722,-126.278,270.0,top
J1,49.403,-134.366,0.0,top
J2,78.7858,-120.6958,0.0,top
J3,47.625,-120.4976,0.0,top
J4,80.9752,-138.5316,0.0,top
R1,58.166,-135.89,90.0,top
SW1,79.9338,-169.879401,90.0,top
SW2,48.3896,-156.0936,270.0,top
SW3,48.3896,-165.5572,270.0,top
SW4,80.6426,-156.6422,180.0,top
U1,63.9318,-143.6116,0.0,top
