Designator,Mid X,Mid Y,Rotation,Layer
C1,61.95,-129.453,270.0,top
J1,48.641,-141.859,0.0,top
J3,78.105,-133.477,180.0,top
J4,62.6872,-167.513,270.0,bottom
R1,58.225,-138.58,90.0,top
R2,69.5,-157.353,270.0,bottom
R3,58.6994,-167.513,90.0,bottom
SW1,50.673,-121.262,270.0,top
SW2,50.673,-130.787,270.0,top
U1,63.93,-143.6,0.0,top
U2,66.1924,-162.5854,90.0,top
U3,61.9912,-162.56,270.0,top
U4,80.899,-144.018,0.0,top
